potZ,potRot,potY,potX,duration
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
